body_condition,mechanical_condition,body_type,no_of_cylinders,horsepower,year,Mileage,Price_USD
10,10,SUV,8,450,2018,24230.7,29942
10,10,Sedan,6,450,2014,124260,21231.6
10,10,Wagon,4,125,2020,42869.7,8982.6
10,10,Sedan,6,250,2015,52189.2,26675.6
10,10,Van,6,250,2013,69429.6537,9798.9278
10,10,Coupe,6,350,2019,19618.7901,89553.8
10,10,Coupe,8,450,2018,25665.2817,73494
10,10,Sedan,4,250,2020,45637.5915,42191
10,10,Hatchback,4,250,2018,44386.9146,20659.98
10,10,SUV,4,175,2018,65236.5,10615.8
10,10,Coupe,6,250,2010,105310.35,8166
10,10,SUV,6,250,2021,30443.7,36747
10,10,SUV,6,350,2017,42073.1934,24225.8
10,10,Sedan,4,250,2018,27337.2,32636.78
10,10,SUV,6,250,2019,13047.3,20415
10,10,Sedan,6,350,2015,61645.386,31166.9
10,10,Hard Top Convertible,8,450,2021,4.3491,66960.9278
10,10,Coupe,8,450,2015,68720.7504,60972.8
10,10,SUV,6,350,2012,81371.0397,8166
10,10,Sedan,4,250,2020,21124.2,51718
10,10,SUV,6,250,2014,101010.3327,9799.2
10,10,Coupe,6,450,2019,11398.9911,127934
10,10,SUV,8,450,2009,120378.1176,6668.9
10,10,Sedan,8,250,2004,65236.5,6260.6
10,10,Hatchback,4,175,2016,43491,9663.1
10,10,SUV,8,350,2014,135443.4,24770.2
10,10,Sedan,8,250,2004,55295.7,9254.8
10,10,Sedan,4,175,2016,85812.0921,16304.78
10,10,Coupe,6,350,2009,60576.75,43279.8
10,10,SUV,6,350,2014,43491,24225.8
10,10,SUV,6,250,2014,83203.8747,15787.6
10,10,SUV,6,450,2021,0,125211.7278
10,10,SUV,4,250,2019,41005.8,36747
10,10,SUV,4,250,2015,56538.3,11296.3
10,10,Sedan,6,250,2013,80769,24498
10,10,SUV,6,450,2021,0,40830
10,10,SUV,6,350,2013,123995.9475,10071.4
10,10,SUV,6,250,2021,0,39469
10,10,SUV,4,250,2018,49082.7,19598.4
10,10,SUV,4,125,2018,82681.9827,14127.18
10,10,Coupe,8,450,2021,5467.44,59611.8
10,10,SUV,8,450,2018,46597.5,66689
10,10,SUV,8,350,2021,11183.4,65328
10,10,Sedan,6,175,2013,71449.5,10888
10,10,Sedan,6,250,2013,149112,6668.9
10,10,Coupe,6,350,2014,0,18917.9
10,10,Soft Top Convertible,6,350,2014,39141.9,29914.78
10,10,SUV,8,450,2015,55917,61245
10,10,Crossover,4,250,2021,0,78393.6
10,10,Sedan,6,350,2014,68343,20959.4
10,10,SUV,8,450,2021,13047.3,35113.8
10,10,SUV,8,250,2016,26635.7523,13610
10,10,SUV,4,175,2016,45213.8649,16059.8
10,10,SUV,4,250,2020,18017.7,40557.8
10,10,Sedan,12,450,2011,49704,88465
10,8,SUV,8,450,2014,62130,42191
10,10,Sedan,4,175,2014,91543.5846,14971
10,10,Pick Up Truck,4,250,2016,13668.6,29942
10,10,Pick Up Truck,4,250,2017,105621,11432.4
10,10,SUV,8,250,2005,118668.3,28581
10,10,Sedan,4,250,2018,44112.3,46001.8
10,10,Pick Up Truck,6,350,2019,28562.4036,65328
10,10,SUV,6,250,2019,41893.0164,24470.78
10,10,SUV,8,450,2013,63073.7547,17420.8
10,10,Sedan,6,350,2013,52810.5,20415
10,10,SUV,6,350,2015,93195,18509.6
10,10,SUV,8,350,2020,19881.6,42191
10,10,Sedan,6,250,2013,62130,11704.6
10,10,SUV,6,250,2015,82632.9,20278.9
10,10,SUV,8,350,2013,77401.554,21503.8
10,10,Sedan,6,350,2015,117425.7,23137
10,10,Sedan,6,250,2011,80746.6332,9527
10,10,Sedan,6,350,2011,56538.3,14834.9
10,10,SUV,8,350,2019,16775.1,66689
10,10,SUV,6,250,2018,42248.4,41619.38
10,10,SUV,8,350,2019,22988.1,81387.8
10,10,Sedan,4,250,2014,59644.8,8710.4
10,10,Hatchback,4,250,2018,26715.9,19870.6
10,10,Pick Up Truck,6,175,2021,0,38652.4
10,10,Coupe,4,175,2012,59644.8,10343.6
10,10,Sedan,8,450,2016,72692.1,43279.8
10,10,SUV,6,250,2013,79526.4,9254.8
10,10,Hatchback,4,125,2020,45540.0474,18509.6
4,10,Coupe,6,350,2015,103549.5858,16059.8
10,10,Sports Car,6,350,2017,48461.4,45185.2
10,10,SUV,6,350,2019,30515.1495,72133
10,10,SUV,4,250,2021,4721.88,29942
10,10,Hard Top Convertible,4,250,2006,71449.5,7866.58
10,10,Sedan,4,250,2020,11183.4,39469
10,10,Sedan,4,250,2018,19260.3,26947.8
10,10,SUV,8,450,2021,310.65,78665.8
10,10,SUV,8,350,2014,124260,26675.6
10,10,Sedan,8,450,2013,82632.9,17693
10,10,SUV,8,450,2014,94484.8188,19326.2
10,10,SUV,4,175,2020,13668.6,32119.6
10,10,Coupe,12,450,2008,40073.85,54167.8
10,10,Sedan,4,125,2018,74073.8712,8710.4
10,10,Sedan,6,250,2016,124260,7349.4
10,10,SUV,6,350,2017,83254.2,46001.8
10,10,Pick Up Truck,6,350,2021,0,34025
10,10,SUV,6,250,2015,58763.7966,40557.8
10,10,SUV,6,350,2017,36656.7,56889.8
10,10,Pick Up Truck,4,350,2021,0,34025
10,10,Sedan,4,250,2019,31686.3,39469
10,10,Hard Top Convertible,8,250,1960,310.65,95270
10,10,Sedan,8,450,2018,33826.0572,67777.8
10,10,SUV,4,250,2019,18639,24225.8
10,10,SUV,4,250,2020,30443.7,64239.2
10,10,SUV,6,350,2015,69779.4456,21177.16
10,10,SUV,4,125,2016,74483.9292,8982.6
10,10,SUV,8,350,2014,118286.2005,14971
10,10,Hatchback,4,250,2016,28697.847,10615.8
10,10,SUV,6,350,2021,14289.9,61245
10,10,SUV,8,350,2016,91188.8223,29942
10,10,Soft Top Convertible,8,450,2021,6.213,70499.8
10,10,Soft Top Convertible,6,350,2015,130250.5746,14154.4
10,10,Wagon,6,450,2019,73934.7,78938
10,10,Sedan,8,175,2007,59783.9712,10751.9
10,10,SUV,6,350,2021,27337.2,49948.7
10,10,Wagon,4,250,2017,51641.2134,11132.98
10,10,Coupe,6,450,2019,1138.2216,112963
10,10,SUV,6,350,2021,72.0708,81387.8
10,10,SUV,6,250,2012,80769,19326.2
10,10,SUV,6,250,2013,41739.5553,10887.7278
10,10,SUV,4,175,2016,102514.5,11432.4
10,10,Crossover,4,175,2018,10562.1,17829.1
10,10,SUV,8,350,2014,81389.6787,35386
10,10,Other,4,250,2019,18639,18509.6
10,10,SUV,6,350,2018,53431.8,67777.8
7,8,SUV,8,250,2014,88434.5994,24770.2
10,10,Sedan,6,350,2016,32307.6,20415
6,10,SUV,6,175,2013,115275.3807,7893.8
10,10,SUV,4,250,2013,83564.85,12249
10,10,Sedan,4,250,2014,77140.608,13337.8
10,10,SUV,6,450,2019,61508.7,74855
10,10,SUV,6,250,2011,68343,9527
10,10,Crossover,4,175,2010,116804.4,5307.9
10,10,Sedan,4,350,2018,41005.8,35386
10,10,Soft Top Convertible,6,350,2015,34171.5,40557.8
10,10,SUV,8,350,2013,75798.6,7077.2
10,10,Hatchback,4,175,2011,93816.3,4327.98
10,10,SUV,4,250,2020,35414.1,28581
10,10,Hard Top Convertible,6,350,2013,17653.6182,24361.9
10,10,Sedan,6,350,2020,5591.7,36747
10,10,SUV,4,450,2016,8698.2,95270
10,10,Hatchback,4,250,2015,91952.4,14943.78
10,10,Sedan,8,450,2019,11511.4464,72132.7278
10,10,Sedan,6,350,2014,63248.34,26947.8
10,10,SUV,6,250,2011,89334.2418,10615.8
10,10,SUV,6,450,2019,50946.6,72133
10,10,SUV,4,175,2019,45287.1783,31575.2
10,10,Sedan,4,250,2021,1086.6537,20959.1278
10,10,Hatchback,4,175,2019,28579.8,12249
10,10,Sedan,4,250,2021,8076.9,20415
10,10,Coupe,8,350,2007,18639,51445.8
10,10,Hatchback,4,250,2019,29536.602,25859
10,10,SUV,6,350,2020,14600.55,93909
10,10,Coupe,8,450,2018,32790.3501,48723.8
10,10,Sedan,3,125,2020,45074.0724,10588.58
6,10,SUV,6,250,2015,92573.7,12657.3
10,10,Sedan,4,175,2018,104999.7,14698.8
10,10,SUV,6,350,2013,98786.7,19870.6
10,10,SUV,6,450,2015,109348.8,12249
10,10,Pick Up Truck,8,350,2016,84496.8,28553.78
10,10,SUV,6,350,2008,123017.4,11568.5
10,10,SUV,8,450,2020,38012.9979,62333.5278
10,10,Sedan,6,250,2006,93195,4083
10,10,Sedan,4,250,2020,9619.5879,47635
10,10,SUV,8,350,2010,74556,10071.4
10,10,Sedan,4,175,2015,74556,8029.9
10,10,Sedan,4,175,2015,93195,11704.6
6,8,SUV,8,350,2009,135132.75,7349.4
10,10,Sedan,6,350,2009,34171.5,12521.2
10,10,SUV,8,450,2014,96301.5,26947.8
10,10,SUV,6,250,2017,36035.4,32391.8
10,10,SUV,6,250,2017,67038.27,32527.9
10,10,Sedan,4,175,2013,124260,6941.1
10,10,SUV,4,250,2016,45976.2,24498
10,10,Sedan,6,350,2004,48461.4,6124.5
10,10,Sports Car,4,250,2020,17396.4,78938
10,10,SUV,8,350,2014,73934.7,20415
10,10,SUV,4,250,2012,31065,22320.4
10,10,Sedan,8,450,2020,9464.8842,126573
10,10,SUV,6,350,2017,55917,48996
10,10,Hatchback,6,450,2009,98786.7,5307.9
10,10,Sedan,4,250,2013,63491.2683,14154.4
10,10,Sedan,4,250,2016,31487.484,36747
10,10,SUV,8,450,2021,8076.9,116773.8
10,10,SUV,4,250,2013,114552.1875,12249
10,10,Wagon,4,125,2019,134822.1,12929.5
10,10,SUV,4,250,2018,24852,51445.8
10,10,SUV,8,350,2013,55917,40557.8
10,10,Sedan,4,250,2020,124.26,18917.9
10,10,Hatchback,6,350,2018,21124.2,94997.8
10,10,Soft Top Convertible,4,350,2019,18017.7,70499.8
10,10,Sedan,6,250,2017,99408,25042.4
10,10,Sedan,6,350,2014,59023.5,11976.8
10,10,Sedan,8,450,2018,27316.6971,69410.7278
10,10,Sedan,8,350,2004,121930.125,6532.8
10,10,Sedan,4,250,2019,37278,12249
10,10,SUV,8,450,2015,70885.9809,34569.4
10,10,SUV,8,450,2017,34988.5095,54440
10,10,SUV,6,350,2019,22276.7115,62605.7278
10,10,SUV,6,350,2018,29822.4,78665.8
10,10,Other,8,350,2019,27337.2,40830
10,10,SUV,6,250,2015,93708.1938,16059.8
10,10,SUV,8,450,2011,108745.5177,19054
10,10,SUV,6,350,2021,5094.66,44913
10,10,SUV,8,450,2021,6213,74855
10,10,Sports Car,6,350,2018,24852,59884
10,10,SUV,8,350,2021,434.91,76216
6,10,SUV,6,250,2013,122396.1,11976.8
10,10,Hard Top Convertible,6,350,2016,65857.8,37835.8
10,10,SUV,4,175,2015,95240.9409,12249
10,10,Coupe,6,350,2014,34171.5,10615.8
10,10,SUV,6,350,2021,248.52,88465
10,10,SUV,4,175,2015,79526.4,14971
10,10,SUV,4,175,2016,66300.7869,23137
7,10,Sedan,4,250,2021,6081.9057,62578.78
10,10,Hard Top Convertible,6,250,2014,72692.1,35386
10,10,SUV,6,350,2017,41987.454,18509.3278
10,10,SUV,4,250,2021,19078.8804,66689
10,10,SUV,8,350,2015,92126.9853,28581
10,10,Sedan,6,350,2018,102390.24,18237.4
10,10,SUV,4,250,2019,21745.5,40013.4
10,10,SUV,4,250,2016,85584.075,19870.6
10,10,SUV,8,350,2014,110192.5254,25314.6
10,10,Other,6,450,2018,18017.7,44368.6
10,10,Coupe,6,350,2020,8351.5146,19870.6
7,10,Sedan,4,175,2009,99408,6805
10,10,SUV,8,350,2013,108727.5,13337.8
10,10,Sedan,8,350,2016,52810.5,24498
10,10,Sedan,4,250,2016,70611.9876,10071.1278
10,10,SUV,6,350,2007,135443.4,9799.2
10,10,Sedan,4,175,2017,80769,9254.8
10,10,Coupe,8,350,2018,91944.9444,29669.8
10,10,Sedan,4,250,2011,123434.2923,5171.8
10,10,SUV,6,350,2014,74556,19054
10,10,SUV,8,350,2019,31686.3,43279.8
10,10,SUV,4,175,2007,122396.1,4080.278
10,10,Hard Top Convertible,6,250,2013,68478.4434,17693
10,10,Sedan,8,250,2017,103135.8,31847.4
10,10,Hatchback,6,350,2014,55295.7,24470.78
10,10,Sedan,6,650,2020,34792.8,115685
10,10,Sedan,6,250,2013,55917,14971
10,10,Sedan,4,175,2018,46597.5,27192.78
10,10,Coupe,4,175,2010,68343,4600.18
10,10,Coupe,6,350,2017,49082.7,94997.8
10,10,SUV,6,250,2018,95378.8695,28853.2
10,10,Sports Car,6,350,2018,52810.5,15651.5
10,10,Sedan,4,250,2016,118047,22048.2
6,10,SUV,6,250,2017,51257.25,72133
10,10,Sedan,6,350,2021,14.9112,40557.8
10,10,Hatchback,4,175,2015,76793.3013,9254.8
10,10,Sports Car,6,450,2020,8076.9,110241
10,10,Hatchback,3,175,2019,32928.9,25859
10,10,SUV,8,450,2021,10562.1,95270
10,10,Utility Truck,6,350,2020,19260.3,39196.8
10,10,Sedan,4,250,2008,58029.42,6124.5
10,10,SUV,8,350,2017,83875.5,31303
10,10,Sedan,4,175,2015,149112,10615.8
10,10,Sedan,4,250,2016,74034.108,23109.78
10,10,SUV,4,175,2010,111834,6668.9
10,10,SUV,6,350,2016,54728.4531,26947.8
10,10,SUV,8,350,2013,80477.6103,14971
10,10,SUV,6,250,2016,67721.7,20387.78
10,10,SUV,4,250,2016,69585.6,31030.8
10,10,SUV,4,175,2017,42869.7,13337.8
10,10,Sedan,8,450,2017,76642.3254,56617.6
10,10,Coupe,8,450,2016,49704,18781.8
10,10,Sedan,4,250,2013,155325,6396.7
10,10,Sedan,4,175,2017,63372.6,8710.4
6,10,SUV,6,250,2014,55917,21231.6
10,8,Sedan,4,250,2014,66479.1,13337.8
10,10,Sedan,6,350,2006,71449.5,7893.8
10,10,SUV,4,250,2018,24095.2566,50357
10,10,SUV,6,175,2011,78905.1,4491.3
10,10,SUV,8,450,2021,12.426,81387.8
10,10,SUV,8,450,2020,29822.4,57162
10,10,SUV,8,350,2011,158431.5,7893.8
10,10,SUV,6,250,2014,74399.4324,13065.6
10,10,Hatchback,4,175,2017,92459.3808,23137
10,10,SUV,6,250,2016,109473.06,24498
10,10,Sedan,6,450,2019,56533.3296,80299
10,10,SUV,6,350,2019,16153.8,67777.8
10,10,Sedan,6,350,2015,34171.5,51690.78
10,10,SUV,6,250,2017,61631.0961,33752.8
10,10,Sedan,8,350,2019,31872.69,40557.8
10,10,Coupe,4,175,2012,55295.7,8138.78
10,10,Sedan,6,350,2018,35414.1,20142.8
10,10,Van,4,125,2017,190159.4271,17665.78
10,10,Pick Up Truck,6,350,2020,18639,48723.8
10,10,SUV,6,350,2020,20192.25,46001.8
10,10,Sedan,6,350,2018,11957.5398,84382
6,8,SUV,8,350,2010,127366.5,10071.4
10,10,SUV,8,250,2014,73313.4,18917.9
10,10,Sedan,6,250,2006,90088.5,4491.3
10,10,Hatchback,4,250,2018,112768.4352,12221.78
10,10,SUV,6,175,2018,35905.5483,19843.38
10,10,SUV,6,250,2019,24852,39727.59
10,10,SUV,6,350,2018,60651.306,65055.8
10,10,SUV,6,250,2020,5902.35,52806.8
10,10,SUV,6,450,2020,9591.0081,111602
10,10,SUV,3,175,2021,0,12385.1
10,10,SUV,8,350,2006,77662.5,5035.7
10,10,SUV,4,175,2014,89377.7328,9527
10,10,Sedan,4,175,2009,128163.0066,5852.3
10,10,Other,8,350,2007,55295.7,9254.8
10,10,Sedan,4,250,2017,17396.4,32119.6
10,10,SUV,6,250,2011,115606.5336,5716.2
10,10,SUV,4,175,2013,86982,8574.3
10,10,SUV,6,450,2018,32307.6,49812.6
10,10,SUV,8,450,2021,3246.9138,111329.8
10,10,SUV,6,350,2021,18639,102891.6
10,10,SUV,4,125,2019,66479.1,9799.2
10,10,SUV,8,350,2007,182662.2,6587.24
10,10,SUV,8,450,2016,87603.3,45729.6
10,10,Sedan,4,125,2017,74729.3427,9527
10,10,Coupe,6,250,2013,33591.8271,35386
10,10,Sedan,6,350,2018,22433.2791,29942
10,10,Sedan,6,350,2015,78905.1,13065.6
7,8,Coupe,8,350,2014,73317.1278,13610
10,10,Sedan,4,175,2017,86453.2737,17012.5
10,10,SUV,4,250,2018,40839.2916,22320.4
10,10,Wagon,4,250,2020,110591.4,23137
10,10,Pick Up Truck,4,175,2019,101133.3501,13582.78
10,10,SUV,6,350,2019,71449.5,38652.4
10,10,Van,4,125,2020,23435.436,13038.38
10,10,SUV,8,350,2013,92077.2813,14971
10,10,Sports Car,8,450,2017,27958.5,19870.6
10,10,Hatchback,4,175,2020,33550.2,9527
10,10,Hatchback,4,125,2015,45354.9,14971
10,10,SUV,6,350,2013,138177.7413,18509.6
10,10,SUV,6,350,2014,109348.8,37835.8
